VKM;Keeper Name;Country;Status;Website
AHM;A.H. Meyer & Cie AG;CH;in use;ahmeyer.ch
AHYRE;ANDALUZA DE HIERROS Y RECUPERACIONES S.A.;ES;in use;ahyresa.es
AINO;ARGE Istandhaltung Niederösterreich;AT;in use;
AIROL;Filippi SA;CH;in use;
AIRRA;AIR-RAIL.S.L;ES;in use;air-rail.org
AITX;AITX Rail Europe;FR;in use;aitx.com
AIUK;Aggregate Industries;UK;in use;aggregate.com
AIX;AIXrail GmbH;DE;in use;aixrail.de
AJ;Association de Jeunes pour l'Entretien et la Conservation des Trains d'Autrefois;FR;in use;ajecta.org
AJF;Arvidsjaurs Järnvägsförening;SE;in use;
AJVAG;SIA VAGONETE;LV;in use;vagonete.eu
AK;Adria kombi d.o.o., Ljubljana;SI;in use;adriakombi.si
AKE;AKE-Eisenbahntouristik – jörg Petry e.K.;DE;in use;ake-eisenbahntouristik.de
AKIEM;AKIEM SAS;FR;in use;
AKN;AKN Eisenbahn GmbH;DE;in use;akn.de
AKO;Arbeitskreis Ostertalbahn (AkO) e.V;DE;in use;ostertalbahn.de
AKP;Akwawit-Polmos S.A.;PL;in use;akwawit.com.pl
AKRES;Akiem Réseau SAS;FR;in use;akiem.com
AKTIV;Aktiv Gleisbau GmbH;DE;in use;aktiv-gleisbau.de
AKYPI;AKYPI LOGİSTİK LTD.ŞTİ.;TR;in use;akyapilojistik.com.tr
AL;ALS s. c. Andrzej Bochniarz, Łukasz Bochniarz;PL;in use;
ALAND;ARBOTEC GmbH;DE;in use;arbotec-landschaftspflege.de
ALBA;ALBATROS klub;SK;in use;albatrosklub.sk
ALBE;ALBEMARLE EUROPE SPRL;BE;in use;albemarle.com
ALBO;Alberdingk Boley GmbH;DE;in use;
ALBRA;ALBRAIL shpk;AL;in use;albrail.al
ALCA;Autorail Lorraine Champagne-Ardenne;FR;in use;autorail.lorraineschampagneardenne.facebook.com
ALCAN;Rio Tinto Alcan;UK;in use;riotinto.com
ALCEM;Alpacem Cement, d.d.;SI;in use;https://alpacem.si/
ALCO;Alcosuisse AG;CH;in use;eav.admin.ch/alcosuisse/?lang=en
ALD;AIR LIQUIDE Deutchland GmbH;DE;in use;airliquide.de
ALG;Autolink Group AS;NO;in use;autolink.as
ALGEP;ALGEPOSA INTERMODAL, S.A.;ES;in use;railsider.com
ALGEU;Autolink Group AS;EE;in use;https://autolink.ee/
ALHB;ALSTOM Transport Deutschland GmbH;DE;in use;alstom.com
